team,payroll,season
Portland Trail Blazers,131904647,2021
Houston Rockets,131784255,2021
Washington Wizards,131294012,2021
Minnesota Timberwolves,130334934,2021
Indiana Pacers,130237102,2021
Denver Nuggets,129793210,2021
Cleveland Cavaliers,129605319,2021
San Antonio Spurs,129537825,2021
Toronto Raptors,129131910,2021
Chicago Bulls,128963580,2021
Phoenix Suns,128858241,2021
Dallas Mavericks,127657823,2021
Orlando Magic,121739163,2021
Atlanta Hawks,118804016,2021
Detroit Pistons,117041599,2021
Charlotte Hornets,108218809,2021
Sacramento Kings,106847430,2021
New York Knicks,102137151,2021
Oklahoma City Thunder,95774839,2021
Golden State Warriors,178980766,2022
Brooklyn Nets,174811922,2022
Los Angeles Clippers,168378382,2022
Los Angeles Lakers,164409293,2022
Milwaukee Bucks,160875421,2022
Utah Jazz,149760719,2022
Philadelphia 76ers,148922969,2022
Miami Heat,140840240,2022
Indiana Pacers,138181486,2022
Denver Nuggets,137963926,2022
Minnesota Timberwolves,137432702,2022
Boston Celtics,136557646,2022
Phoenix Suns,136476474,2022
Cleveland Cavaliers,136385911,2022
Chicago Bulls,136083814,2022
New Orleans Pelicans,135793968,2022
Atlanta Hawks,135166020,2022
Toronto Raptors,134896484,2022
Houston Rockets,132267085,2022
Detroit Pistons,131120355,2022
Sacramento Kings,130457848,2022
Washington Wizards,128019790,2022
San Antonio Spurs,127655401,2022
Orlando Magic,126786646,2022
Dallas Mavericks,126696965,2022
Portland Trail Blazers,124788473,2022
Charlotte Hornets,122139566,2022
New York Knicks,120644081,2022
Memphis Grizzlies,117284457,2022
Oklahoma City Thunder,82022873,2022
Los Angeles Clippers,192905421,2023
Golden State Warriors,192386134,2023
Milwaukee Bucks,182930771,2023
Boston Celtics,178633307,2023
Dallas Mavericks,177244238,2023
Phoenix Suns,176042453,2023
Los Angeles Lakers,169391473,2023
Denver Nuggets,162338665,2023
Brooklyn Nets,159566723,2023
Washington Wizards,152008934,2023
Cleveland Cavaliers,151966241,2023
Chicago Bulls,151964990,2023
Miami Heat,151408266,2023
Toronto Raptors,150992313,2023
